_id,username,champion,discordId,grandFinal.A,grandFinal.B,grandFinal.winner,lower.L1.A,lower.L1.B,lower.L2.A,lower.L2.B,lower.L3.A,lower.L3.B,lower.L4.A,lower.L4.B,lower.L5.A,lower.L5.B,lower.L6.A,lower.L6.B,updated_at,upper.U1.A,upper.U1.B,upper.U2.A,upper.U2.B,upper.U3.A,upper.U3.B,upper.U4.A,upper.U4.B,upper.U5.A,upper.U5.B,upper.U6.A,upper.U6.B,upper.U7.A,upper.U7.B
690acc66c69db644da150703,Kazuto,MOI,Kazutoggo,MOI,CPG,MOI,PS,J4F,J97,VLD,PS,BSG,J97,TMG,BSG,TMG,TMG,CPG,2025-11-05T04:03:13.656Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,TMG,CPG,MOI,CPG
690ace21c69db644da150705,hlf,VLD,hlf,MOI,VLD,VLD,PS,J4F,J97,CPG,J4F,BSG,J97,TMG,BSG,TMG,TMG,VLD,2025-11-08T11:34:49.920Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,TMG,VLD,MOI,VLD
690ada89c69db644da150711,Chillin,J97,967424602206781601,J97,TMG,J97,PS,J4F,TMG,VLD,J4F,BSG,TMG,CPG,J4F,TMG,TMG,MOI,2025-11-08T05:53:19.325Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,J97,CPG,MOI,J97
690adabbc69db644da150712,leoking123,CPG,nightmare957,CPG,PS,CPG,MOI,J4F,J97,VLD,MOI,BSG,J97,TMG,MOI,J97,J97,PS,2025-11-05T05:04:23.378Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,BSG,TMG,CPG,PS,CPG
690adff1c69db644da150719,Soky,PS,Soky1401,PS,J97,PS,MOI,J4F,J97,VLD,MOI,BSG,J97,CPG,MOI,J97,J97,TMG,2025-11-05T05:26:36.631Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,BSG,TMG,CPG,PS,TMG
690ae1a7c69db644da15071b,Sage20216,BSG,Sầu riêng,MOI,BSG,BSG,PS,J4F,TMG,CPG,PS,BSG,TMG,VLD,BSG,VLD,BSG,J97,2025-11-05T05:33:54.866Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,J97,VLD,MOI,J97
690ae301c69db644da15071d,duckdury,CPG,duycaubinh,CPG,BSG,CPG,MOI,J4F,J97,VLD,MOI,PS,J97,TMG,PS,TMG,TMG,BSG,2025-11-05T05:39:41.162Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,BSG,TMG,CPG,BSG,CPG
690af0dfc69db644da15072c,Chinowai,CPG,kgchinowai#4243,CPG,BSG,CPG,MOI,BSG,TMG,VLD,BSG,PS,TMG,J97,BSG,TMG,BSG,J4F,2025-11-05T06:38:51.002Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,J4F,J97,CPG,J4F,CPG
690affc0c69db644da15073d,mrtun20,BSG,hamster đuôi dài (giaicotoiyeu),BSG,J97,BSG,MOI,J4F,J97,VLD,MOI,PS,J97,TMG,PS,J97,J97,CPG,2025-11-05T07:42:20.410Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,BSG,TMG,CPG,BSG,CPG
690b0148c69db644da150740,Florets1012,MOI,Bloom,MOI,VLD,MOI,PS,J4F,TMG,CPG,J4F,BSG,TMG,J97,BSG,J97,J97,VLD,2025-11-06T13:08:57.506Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,J97,VLD,MOI,VLD
690b4eabc69db644da15077f,lilouchemy,J97,lilou_chemy,J97,PS,J97,MOI,J4F,TMG,VLD,MOI,BSG,VLD,CPG,BSG,VLD,VLD,PS,2025-11-05T17:21:46.669Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,BSG,J97,CPG,PS,J97
690b881bc69db644da1507c2,khavid,VLD,khavid,VLD,TMG,VLD,PS,BSG,J97,CPG,BSG,J4F,J97,TMG,J4F,TMG,TMG,MOI,2025-11-05T17:23:39.375Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,TMG,VLD,MOI,VLD
690c541bc69db644da150882,nogahhenit,MOI,nogah_henit,MOI,J97,MOI,PS,J4F,TMG,CPG,PS,BSG,CPG,VLD,BSG,VLD,BSG,J97,2025-11-08T08:34:30.175Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,J97,VLD,MOI,J97
690c86e6c69db644da15098a,lynganthutran03,PS,i_am_quoac_03,VLD,PS,PS,MOI,J4F,TMG,CPG,J4F,BSG,TMG,J97,J4F,TMG,J4F,PS,2025-11-06T11:35:21.704Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,BSG,J97,VLD,PS,VLD
690c8a19c69db644da15098f,Envy200101,TMG,envybabyboo,J97,TMG,TMG,MOI,BSG,TMG,CPG,MOI,J4F,TMG,VLD,MOI,TMG,TMG,PS,2025-11-06T11:44:25.357Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,J4F,J97,VLD,PS,J97
690c8af1c69db644da150991,lekimloc2004,BSG,Leesan,BSG,MOI,BSG,PS,J4F,TMG,CPG,J4F,MOI,TMG,VLD,MOI,TMG,MOI,J97,2025-11-06T11:48:01.583Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,J97,VLD,BSG,J97
690c8af4c69db644da150992,or3zz,J97,or3zz,J97,BSG,J97,MOI,J4F,TMG,CPG,MOI,PS,CPG,VLD,PS,CPG,CPG,BSG,2025-11-06T11:48:04.851Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,BSG,J97,VLD,BSG,J97
690c8b1dc69db644da150993,Jewell,BSG,jewel3668,J97,BSG,BSG,MOI,J4F,TMG,CPG,MOI,PS,TMG,VLD,MOI,VLD,VLD,BSG,2025-11-06T11:48:45.248Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,BSG,J97,VLD,BSG,J97
690c8b41c69db644da150994,Matsurai,VLD,matsurai,VLD,J97,VLD,PS,BSG,TMG,CPG,PS,J4F,TMG,J97,J4F,J97,J97,MOI,2025-11-06T11:49:42.961Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,J97,VLD,MOI,VLD
690c8bb8c69db644da150995,sontung1708,TMG,Ratatouille,J97,TMG,TMG,MOI,BSG,TMG,VLD,MOI,J4F,TMG,CPG,MOI,TMG,TMG,PS,2025-11-08T08:23:20.592Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,J4F,J97,CPG,PS,J97
690c8cb9c69db644da150997,dptzz,J97,kourai0353,J4F,J97,J97,MOI,BSG,TMG,CPG,MOI,,TMG,VLD,,TMG,,J97,2025-11-06T11:55:37.332Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,J4F,J97,VLD,J4F,J97
690c8cf1c69db644da150999,Kazu,J97,hazukazu,J97,CPG,J97,PS,BSG,TMG,VLD,PS,MOI,VLD,CPG,PS,CPG,CPG,J4F,2025-11-06T11:56:33.519Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,J97,CPG,J4F,J97
690c922fc69db644da15099e,Tokai Rainy,TMG,amerainy,J97,TMG,TMG,PS,BSG,TMG,VLD,BSG,J4F,TMG,CPG,BSG,TMG,TMG,MOI,2025-11-06T12:18:55.737Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,J97,CPG,MOI,J97
690c9d3ec69db644da1509a6,TienMingLee,MOI,tienminglee.,J4F,MOI,MOI,PS,BSG,TMG,CPG,PS,MOI,TMG,VLD,MOI,TMG,MOI,J97,2025-11-06T13:06:06.615Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,J97,VLD,J4F,J97
690ca9bcc69db644da1509b3,Kayn2002,J97,enoch9999,TMG,J97,J97,MOI,BSG,J97,VLD,MOI,J4F,J97,CPG,J4F,J97,J97,PS,2025-11-06T13:59:25.008Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,J4F,TMG,CPG,PS,TMG
690cafb3c69db644da1509bb,aduemflash123,J97,aduflash,J4F,J97,J97,PS,BSG,TMG,CPG,PS,MOI,TMG,VLD,PS,TMG,PS,J97,2025-11-06T14:24:51.044Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,J97,VLD,J4F,J97
690cb4b7c69db644da1509c2,PenGuin,J97,dangtran2596,J97,PS,J97,MOI,BSG,TMG,VLD,MOI,,VLD,CPG,MOI,CPG,MOI,PS,2025-11-06T14:46:15.914Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,J4F,J97,CPG,PS,J97
690cb875c69db644da1509c6,Kyoka ,,1214056733689778179,,,,,,,,,,,,,,,,2025-11-06T15:10:22.490Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,,,,,,
690edc03c69db644da150cd5,Huyna,TMG,.huyna.,MOI,TMG,TMG,PS,BSG,TMG,CPG,BSG,J4F,TMG,J97,J4F,TMG,TMG,VLD,2025-11-08T05:58:32.743Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,J97,VLD,MOI,VLD
690edd6ec69db644da150cd7,rexeas,CPG,rexeas,CPG,J4F,CPG,PS,BSG,J97,VLD,PS,J4F,VLD,TMG,J4F,TMG,J4F,MOI,2025-11-08T06:04:33.184Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,TMG,CPG,MOI,CPG
690edd9dc69db644da150cd8,xvandat,J97,xvandat,J97,J4F,J97,MOI,J4F,TMG,VLD,J4F,PS,TMG,CPG,J4F,TMG,J4F,BSG,2025-11-08T06:05:20.557Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,BSG,J97,CPG,BSG,J97
690edf9ac69db644da150cdb,astrayl3,MOI,astrayl3,MOI,TMG,MOI,PS,BSG,J97,VLD,PS,J4F,VLD,CPG,PS,VLD,VLD,TMG,2025-11-08T06:13:49.206Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,TMG,CPG,MOI,TMG
690ee0b1c69db644da150cdd,hieu,CPG,Sheyta,CPG,J4F,CPG,PS,BSG,TMG,VLD,PS,MOI,VLD,J97,MOI,VLD,VLD,J4F,2025-11-08T06:18:28.439Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,J97,CPG,J4F,CPG
690ee102c69db644da150cde,ntson2710,J4F,ntson,J97,J4F,J4F,PS,BSG,TMG,CPG,PS,MOI,CPG,VLD,PS,CPG,PS,J4F,2025-11-08T06:19:56.194Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,J97,VLD,J4F,J97
690ee36ec69db644da150ce3,Sundragon,,sundragon209,,,,,,,,,,,,,,,,2025-11-08T06:30:08.736Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,,,,,,
690ee577c69db644da150ce6,Lucifer,TMG,lucifer130704,TMG,MOI,TMG,PS,J4F,J97,VLD,J4F,BSG,J97,CPG,J4F,CPG,J4F,MOI,2025-11-08T06:38:56.657Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,TMG,CPG,MOI,TMG
690ee6b6c69db644da150ce8,quangtc1612,VLD,_ireina_,VLD,BSG,VLD,PS,J4F,TMG,CPG,PS,MOI,CPG,J97,PS,CPG,PS,BSG,2025-11-08T06:44:09.297Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,J97,VLD,BSG,VLD
690f15d5c69db644da150d1d,Mimmim,,akatsuki4832,J97,,,MOI,BSG,TMG,VLD,MOI,PS,VLD,CPG,PS,,,J4F,2025-11-08T10:06:26.979Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,J4F,J97,CPG,J4F,J97
690f1e58c69db644da150d29,kujosanjiro,CPG,kujosanjiro,MOI,CPG,CPG,PS,J4F,J97,VLD,PS,BSG,VLD,TMG,PS,VLD,PS,CPG,2025-11-08T10:41:31.501Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,TMG,CPG,MOI,CPG
690f24edc69db644da150d2f,hiiro13,MOI,hungle5307,MOI,J4F,MOI,PS,BSG,TMG,CPG,PS,J4F,TMG,VLD,J4F,TMG,J4F,J97,2025-11-08T11:09:36.442Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,J97,VLD,MOI,J97
690f2ad6c69db644da150d33,IcyMax,BSG,IcyMax#4792,BSG,J97,BSG,MOI,J4F,TMG,VLD,MOI,PS,TMG,CPG,MOI,TMG,MOI,J97,2025-11-08T11:34:49.920Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,PS,BSG,J97,CPG,BSG,J97
690f2c2dc69db644da150d35,L.O.C,J4F,1218169729815023666,J4F,VLD,J4F,PS,BSG,TMG,VLD,PS,,VLD,J97,PS,VLD,VLD,CPG,2025-11-08T11:43:52.857Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,J4F,J97,CPG,J4F,CPG
6910c821c69db644da1512e3,btc,,btc,,,,PS,J4F,J97,VLD,,,,,,,,,2025-11-09T16:58:09.604Z,PS,MOI,J4F,BSG,J97,TMG,VLD,CPG,MOI,BSG,TMG,CPG,,
